Speeches,Character,Play
471,Falstaff,"Henry4p1, Henry4p2, Henry5, Wives"
409,Richard III (Duke of Gloucester),"Henry6p3, Richard3"
377,Henry V,"Henry4p1, Henry4p2, Henry5"
358,Hamlet,Hamlet
274,Othello,Othello
272,Iago,Othello
253,Antony,"Antony, Caesar"
210,Timon,Timon
204,Cleopatra,Antony
201,Rosalind,AYLI
194,Brutus,Caesar
194,Vincentio,Measure
189,Coriolanus,Coriolanus
188,Lear,Lear
183,Henry VI,"Henry6p1, Henry6p2, Henry6p3, Richard3"
182,Earl of Warwick,"Henry4p2, Henry5, Henry6p1, Henry6p2, Henry6p3"
169,Queen Margaret,"Henry6p1, Henry6p2, Henry6p3, Richard3"
166,Richard Plantagenet (Duke of Gloucester),"Henry6p1, Henry6p2, Henry6p3, Richard3"
165,Desdemona,Othello
163,Romeo,Romeo
162,Menenius Agrippa,Coriolanus
159,Biron,LLL
158,Petruchio,Shrew
158,Hostess Quickly,"Henry4p1, Henry4p2, Henry5, Wives"
154,Henry IV,"Henry4p1, Henry4p2, Richard2"
153,Pandarus,Troilus
152,Cressida,Troilus
152,Sir Toby Belch,12Night
149,Valentine,2Gents
147,Proteus,2Gents
146,Macbeth,Macbeth
144,King Edward IV (Plantagenet),"Henry6p2, Henry6p3, Richard3"
141,Parolles,AWW
140,Cassius,Caesar
136,Robert Shallow,"Henry4p2, Wives"
135,Don Pedro,Ado
134,Benedick,Ado
131,Troilus,Troilus
129,Isabella,Measure
129,Queen Elizabeth,"Henry6p3, Richard3"
127,Earl of Kent,Lear
125,Claudio,Ado
125,Leontes,WT
122,Pistol,"Henry4p2, Henry5, Wives"
122,Duke of Gloucester,"Henry5, Henry6p1, Henry6p2"
121,Viola,12Night
121,Pericles,Pericles
120,Leonato,Ado
120,Orlando,AYLI
118,Juliet,Romeo
118,Earl of Gloucester,Lear
118,Olivia,12Night
118,Imogen,Cymbeline
117,Sicinius Velutus,Coriolanus
117,Speed,2Gents
117,Titus Andronicus,Titus
117,Ferdinand,LLL
117,Portia,Merchant
117,Octavius,"Antony, Caesar"
115,Duke of Buckingham,"Henry6p2, Richard3"
114,Hotspur (Henry Percy),"Henry4p1, Richard2"
114,Prospero,Tempest
113,Domitius Enobarus,Antony
111,Lucio,Measure
110,Cassio,Othello
109,Helena,AWW
109,Horatio,Hamlet
108,Celia,AYLI
108,Earl of Suffolk,"Henry6p1, Henry6p2"
107,Julia,2Gents
106,Beatrice,Ado
104,Feste,12Night
103,Antipholus of Syracuse,Errors
103,Emilia,Othello
102,Claudius,Hamlet
102,Don Adriano de Armado,LLL
102,Princess of France,LLL
102,Bertram,AWW
101,Mistress Page,Wives
100,Apemantus,Timon
99,Dromio of Syracuse,Errors
99,Ford,Wives
98,King Richard II,Richard2
98,Edgar,Lear
97,Lafeu,AWW
95,King John,John
91,Junius Brutus,Coriolanus
90,Nurse,Romeo
90,Thersites,Troilus
90,Tranio,Shrew
89,Philip the Bastard,John
88,Sir Andrew Aguecheek,12Night
87,Sir Hugh Evans,Wives
87,Countess,AWW
87,King of France,AWW
87,Malvolio,12Night
86,Polonius,Hamlet
85,Mistress Ford,Wives
83,Angelo,Measure
83,Costard,LLL
82,Katherina,Shrew
81,Henry VIII,Henry8
81,Cymbeline,Cymbeline
80,Ulysses,Troilus
80,Boyet,LLL
79,Adriana,Errors
79,Shylock,Merchant
79,Edmund,Lear
79,Cardinal Wolsey,Henry8
78,Moth,LLL
78,Escalus,Measure
77,Posthumus Leonatus,Cymbeline
77,Iachimo,Cymbeline
77,Cloten,Cymbeline
76,Antipholus of Ephesus,Errors
75,Rosaline,LLL
75,Page,Wives
74,Achilles,Troilus
74,Touchstone,AYLI
73,Regan,Lear
73,Bassanio,Merchant
72,George Plantagenet (Duke of Clarence),"Henry6p3, Richard3"
72,Camillo,WT
70,Hortensio,Shrew
69,Gertrude,Hamlet
68,Fluellen,Henry5
68,Baptista Minola,Shrew
68,Launce,2Gents
67,Autolycus,WT
67,Cominius,Coriolanus
67,Sebastian,Tempest
66,Earl of Northumberland,"Henry4p1, Henry4p2, Richard2"
65,Provost,Measure
64,Benvolio,Romeo
64,Edward Poins,"Henry4p1, Henry4p2"
64,Clown,WT
63,Marcus Andronicus,Titus
63,Grumio,Shrew
63,Charmian,Antony
63,Marina,Pericles
63,Dromio of Ephesus,Errors
62,Guiderius,Cymbeline
62,Mercutio,Romeo
62,Laertes,Hamlet
61,Lucentio,Shrew
61,Jack Cade,Henry6p2
60,Pompey,Measure
60,Stephano,Tempest
59,Roderigo,Othello
59,Orsino,12Night
59,Lady Macbeth,Macbeth
59,Macduff,Macbeth
59,Paulina,WT
59,Bottom,MND
59,Maria,12Night
59,Lord Talbot/Earl of Shrewsbury,Henry6p1
58,Pisanio,Cymbeline
58,Belarius,Cymbeline
58,Fool,Lear
58,Silvia,2Gents
58,Clown,AWW
58,Gremio,Shrew
58,Ophelia,Hamlet
58,Duke of Albany,Lear
58,Winchester,"Henry6p1, Henry6p2"
57,Hector,Troilus
57,Volumnia,Coriolanus
57,Second Lord,AWW
57,Antonio,Tempest
57,Aaron,Titus
57,Polixenes,WT
57,Jaques (lord),AYLI
56,Lord Chief Justice,Henry4p2
56,Lord Hastings,"Henry6p3, Richard3"
56,Slender,Wives
55,Friar Laurence,Romeo
55,Ajax,Troilus
54,Edmund of Langley,Richard2
54,Diomedes,Troilus
54,Dumain,LLL
54,Holofernes,LLL
53,Goneril,Lear
53,Duke of Cornwall,Lear
52,Lord Clifford,"Henry6p2, Henry6p3"
52,Dogberry,Ado
52,Hubert de Burgh,John
52,Gonzalo,Tempest
52,Agamemnon,Troilus
52,Duke/Earl of Somerset,"Henry6p1, Henry6p2, Henry6p3"
51,Capulet,Romeo
51,Lady Anne,Richard3
51,Fabian,12Night
51,Lucius,Titus
50,Lysander,MND
50,Queen Katharine,Henry8
50,Caliban,Tempest
50,Miranda,Tempest
49,Tamora,Titus
49,Saturninus,Titus
49,Doctor Caius,Wives
48,First Lord,AWW
48,Duke of Norfolk,Henry8
48,Duke of Milan,2Gents
48,Gratiano,Merchant
48,Hermia,MND
48,Rosencrantz,Hamlet
48,Theseus,MND
48,Demetrius,MND
48,Lucetta,2Gents
47,Antonio,Merchant
47,Lorenzo,Merchant
46,Duke of Exeter,"Henry5, Henry6p1, Henry6p3"
46,Host,Wives
46,Joan la Pucelle,Henry6p1
46,Arviragus,Cymbeline
46,Bardolph,"Henry4p2, Henry5"
45,Lady Capulet,Romeo
45,Florizel,WT
45,Tullus Aufidius,Coriolanus
45,Ariel,Tempest
44,Hero,Ado
44,Diana,AWW
44,Aeneas,Troilus
44,Launcelot Gobbo,Merchant
43,Bawd,Pericles
43,Luciana,Errors
43,Duchess of York,Richard3
43,King Phillip,John
42,Caesar,Caesar
42,Old Shepherd,WT
42,Simonides,Pericles
42,Messenger,Antony
41,"Charles, King of France",Henry6p1
41,Pompey,Antony
41,Gentleman,Lear
41,Flavius,Timon
40,Don John,Ado
40,Alonso,Tempest
40,Quince,MND
40,Lysimachus,Pericles
40,Constable of France,Henry5
40,Malcolm,Macbeth
40,Longaville,LLL
39,Trinculo,Tempest
39,Ross,Macbeth
39,Casca,Caesar
39,Alcibiades,Timon
39,Demetrius,Titus
39,Earl of Westmoreland,"Henry4p1, Henry4p2, Henry5, Henry6p3"
39,Biondello,Shrew
38,Borachio,Ado
38,Boult,Pericles
38,Nestor,Troilus
38,Duke of Aumerle,Richard2
38,Lord Chamberlain,Henry8
38,Oswald,Lear
37,Oliver,AYLI
37,First Soldier,AWW
37,Second Gentleman,Henry8
37,Patroclus,Troilus
37,Helicanus,Pericles
37,Marcellus,Hamlet
36,Salisbury,John
36,Thurio,2Gents
36,Helena,MND
36,Constance,John
36,Nerissa,Merchant
35,Menas,Antony
35,Hermione,WT
35,Lord Bardolph,"Henry4p1, Henry4p2"
35,Claudio,Measure
35,Earl of Worcester,Henry4p1
35,Prince Edward,"Henry6p3, Richard3"
34,First Gentleman,Henry8
34,First Clown,Hamlet
33,Lepidus,"Antony, Caesar"
33,First Citizen,Coriolanus
33,Katharine,Henry5
33,Puck,MND
33,Lodovico,Othello
33,First Murderer,Richard3
33,First Senator,Coriolanus
33,Nym,"Henry5, Wives"
33,Banquo,Macbeth
32,Thaisa,Pericles
32,Duke,AYLI
32,Sir William Stanley,"Henry6p3, Richard3"
31,Sir William Catesby,Richard3
31,Angelo,Errors
31,Ferdinand,Tempest
31,Sebastian,12Night
31,Cordelia,Lear
31,Lewis the Dauphin,Henry5
31,Gower,"Henry4p2, Henry5"
31,Prince John,"Henry4p1, Henry4p2"
31,Doll Tearsheet,Henry4p2
30,Archbishop Scroop,"Henry4p1, Henry4p2"
30,Poet,Timon
30,Chiron,Titus
30,Painter,Timon
30,Second Murderer,Richard3
30,Brabantio,Othello
30,Duke of Suffolk,Henry8
29,Second Lord,Timon
29,Duke of Orleans,Henry5
29,Bianca,Shrew
29,Oberon,MND
29,Lord (Earl) Rivers,"Henry6p3, Richard3"
29,Lewis,John
29,Guildenstern,Hamlet
28,Duchess of York,Richard2
28,John of Gaunt,Richard2
28,Elbow,Measure
28,Williams,Henry5
28,Agrippa,Antony
28,First Lord,Timon
27,First Senator,Timon
27,Queen,Cymbeline
27,Salarino,Merchant
27,Eros,Antony
27,Paris,Troilus
26,Duke of Buckingham,Henry8
26,Antonio,12Night
26,Virgilia,Coriolanus
26,Margaret,Ado
26,Jessica,Merchant
26,Vernon,"Henry4p1, Henry6p1"
25,Queen,Richard2
25,Duke of Burgundy,"Henry5, Henry6p1"
25,Osric,Hamlet
25,Perdita,WT
25,Duke of Venice,Othello
25,Caius Lucius,Cymbeline
25,Katharine,LLL
25,Simple,Wives
24,Earl of Surrey,Henry8
24,Duke of Bedford,"Henry5, Henry6p1"
24,Lucius,Caesar
24,Corin,AYLI
24,Montano,Othello
24,Silvius,AYLI
24,Christopher Sly,Shrew
24,Dick the Butcher,Henry6p2
24,Mariana,Measure
24,Reignier,Henry6p1
23,Titus Lartius,Coriolanus
23,Dolabella,Antony
23,Titania,MND
23,Cerimon,Pericles
23,Arthur,John
23,Vincentio,Shrew
23,Glendower,Henry4p1
23,Earl of Salisbury,"Henry5, Henry6p1, Henry6p2"
23,Cardinal Pandulph,John
23,First Witch,Macbeth
23,Antonio,Ado
23,Phebe,AYLI
23,Paris,Romeo
23,Conrade,Ado
22,Queen Elinor,John
22,Gardiner,Henry8
22,Alice,Henry5
22,Solinus,Errors
22,Maria,LLL
22,Silence,Henry4p2
21,Sir Thomas Lovell,Henry8
21,Lennox,Macbeth
21,Cromwell,Henry8
21,Archbishop Cranmer,Henry8
21,Eleanor,Henry6p2
21,First Murderer,Macbeth
21,Widow,AWW
21,King Lewis XI,Henry6p3
20,Pembroke,John
20,Frederick,AYLI
20,Fenton,Wives
20,Messala,Caesar
20,Pedant,Shrew
20,Doctor,Macbeth
20,Gratiano,Othello
20,Curtis,Shrew
20,Sampson,Romeo
20,Third Servingman,Coriolanus
20,Second Lord,Cymbeline
19,Cleon,Pericles
19,Bernardo,Hamlet
19,First Servingman,Coriolanus
19,Old Gobbo,Merchant
19,King of France,Henry5
19,Anne Page,Wives
19,Dionyza,Pericles
19,Second Servingman,Coriolanus
19,Antigonus,WT
19,Earl of Douglas,Henry4p1
19,Sir Nathaniel,LLL
19,Ursula,Ado
19,Lady Macduff,Macbeth
18,Flute,MND
18,First Citizen,Caesar
18,Duke,Merchant
18,Simpcox,Henry6p2
18,Second Citizen,Caesar
18,Sir Richard Ratcliff,Richard3
18,Francis,"Henry4p1, Henry4p2"
18,Duncan,Macbeth
18,Verges,Ado
18,Iras,Antony
18,Anne Bullen,Henry8
18,Second Citizen,Coriolanus
18,Lord Mowbray,Henry4p2
18,Salanio,Merchant
18,Archbishop of Canterbury,Henry5
18,Duke of Alencon,Henry6p1
18,Lady Percy,"Henry4p1, Henry4p2"
17,Lord,Shrew
17,Citizens,Coriolanus
17,Aegeon,Errors
17,Gadshill,Henry4p1
17,Tybalt,Romeo
17,Helen,Troilus
17,Messenger,Ado
17,Lord Sands,Henry8
17,Lord Hastings,Henry4p2
17,Page,Henry4p2
16,Fourth Citizen,Caesar
16,Prince Escalus,Romeo
16,Portia,Caesar
16,Sir Robert Brakenbury,Richard3
16,All,Coriolanus
16,Lymoges,John
16,Host,2Gents
16,Friar Francis,Ado
16,Third Citizen,Caesar
16,Aemilia,Errors
16,Mecaenas,Antony
16,Boy,Henry5
15,First Fisherman,Pericles
15,Bianca,Othello
15,Father's Ghost,Hamlet
15,Earl of Northumberland,Henry6p3
15,First Lord,Cymbeline
15,Servant,Troilus
15,Marquess of Montague,Henry6p3
15,Dull,LLL
15,Second Witch,Macbeth
15,Alexas,Antony
15,Gregory,Romeo
15,Lavinia,Titus
15,Mistress Overdone,Measure
14,Valeria,Coriolanus
14,Earl Oxford,"Henry6p3, Richard3"
14,Soothsayer,Antony
14,Cardinal Campeius,Henry8
14,Hippolyta,MND
14,First Lord,WT
14,Sir William Lucy,Henry6p1
14,Messenger,Henry6p1
14,Son,Macbeth
14,Clown,Othello
14,Second Senator,Timon
14,Panthino,2Gents
14,Caphis,Timon
14,Old Lady,Henry8
14,Richmond (Henry VII),Richard3
14,Philario,Cymbeline
14,Davy,Henry4p2
14,Bardolph,Wives
14,First Soldier,Antony
14,Le Beau,AYLI
14,Bassianus,Titus
14,Lord Mayor of London,"Henry6p1, Richard3"
13,Soldier,Antony
13,Third Citizen,Coriolanus
13,Octavia,Antony
13,Lucilius,Timon
13,Mopsa,WT
13,Lord Say,Henry6p2
13,Prince Thomas,Henry4p2
13,Abhorson,Measure
13,All,Macbeth
13,Griffith,Henry8
13,Messenger,Richard3
13,Reynaldo,Hamlet
13,Mamillius,WT
13,Cornelius,Cymbeline
13,Bushy,Richard2
13,Second Merchant,Errors
13,Cassandra,Troilus
13,Jaquenetta,LLL
13,Thomas Mowbray,Richard2
13,Peter,Romeo
13,Mortimer,Henry4p1
13,Countess of Auvergne,Henry6p1
13,Third Witch,Macbeth
12,Audrey,AYLI
12,Antiochus,Pericles
12,Second Clown,Hamlet
12,Bastard of Orleans,Henry6p1
12,Second Fisherman,Pericles
12,Messenger,Coriolanus
12,Titus,Timon
12,First Gentleman,Measure
12,Scarus,Antony
12,Thyreus,Antony
12,Leonine,Pericles
12,Decius Brutus,Caesar
12,Clown,Titus
12,Tailor,Shrew
12,Boatswain,Tempest
12,Balthasar,Romeo
12,Bishop of Ely,Henry5
12,All,Henry6p2
11,Second Soldier,Antony
11,First Guard,Antony
11,Duke of Norfolk,"Henry6p3, Richard3"
11,Cinna,Caesar
11,William,AYLI
11,Courtezan,Errors
11,Antonio,2Gents
11,Balthasar,Ado
11,Blunt,"Henry4p1, Henry4p2"
11,John Talbot,Henry6p1
11,Lord Ross,Richard2
11,Third Lord,Timon
11,First Outlaw,2Gents
11,Quintus,Titus
11,Menelaus,Troilus
11,Gentlewoman,Macbeth
11,Siward,Macbeth
11,Captain,Henry6p2
11,Servant,Caesar
11,Officer,Errors
11,Young Lucius,Titus
11,Dorcas,WT
11,Prince Humphrey,Henry4p2
11,Montjoy,Henry5
11,William Page,Wives
10,Second Senator,Coriolanus
10,Second Gentleman,Pericles
10,Adam,AYLI
10,Sir James Tyrrel,Richard3
10,First Musician,Romeo
10,Nurse,Titus
10,Servant,WT
10,John Holland,Henry6p2
10,Third Soldier,Antony
10,Watchman,Ado
10,Lord Marshal,Richard2
10,Green,Richard2
10,First Citizen,John
10,Aedile,Coriolanus
10,Roman,Coriolanus
10,Flaminius,Timon
10,Captain,12Night
10,Third Gentleman,Henry8
10,Porter,Henry8
10,Proculeius,Antony
10,Amiens,AYLI
10,Tintinius,Caesar
10,Montague,Romeo
10,First Gentleman,Cymbeline
10,French Soldier,Henry5
10,Canidius,Antony
10,First Gentleman,Pericles
10,Pandar,Pericles
10,Lucilius,Caesar
10,Servant,Romeo
10,Old Athenian,Timon
10,Marquis of Dorset,Richard3
10,Second Outlaw,2Gents
10,Martius,Titus
9,Soothsayer,Caesar
9,Second Keeper,Henry6p3
9,Gentleman,AWW
9,Blanch,John
9,First Gaoler,Cymbeline
9,Old Man,Lear
9,Messenger,John
9,Surveyor,Henry8
9,First Lord,Pericles
9,Edmund Mortimer,"Henry6p1, Henry6p3"
9,Snout,MND
9,Alexander Iden,Henry6p2
9,Post,Henry6p3
9,Third Citizen,Richard3
9,Adrian,Tempest
